"rank","repo","url","category_label","relevance_label","stars","forks","language","license","days_since_update","adoption_score","maintainability_score","fit_score","value_score","risk_score","grade","description"
"1","openclaw/openclaw","https://github.com/openclaw/openclaw","official","A-official","233479","44886","TypeScript","MIT","0","100","100","100","100","20","S-priority","Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 "
"2","zhayujie/chatgpt-on-wechat","https://github.com/zhayujie/chatgpt-on-wechat","plugins-skills","B-medium","41542","9765","Python","MIT","0","85","95","80","87","28","A-recommended","CowAgent是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、拥有长期记忆并不断成长。同时支持飞书、钉钉、企业微信应用、微信公众号、网页等接入，可选择OpenAI/Claude/Gemini/DeepSeek/ Qwen/GLM/Kimi/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助手和企业数字员工。"
"3","VoltAgent/awesome-openclaw-skills","https://github.com/VoltAgent/awesome-openclaw-skills","plugins-skills","A-high","21059","2105",,"MIT","0","64","98","91","82","20","A-recommended","The awesome collection of OpenClaw Skills. Formerly known as Moltbot, originally Clawdbot."
"4","HKUDS/nanobot","https://github.com/HKUDS/nanobot","alternatives-forks","B-medium","25862","4091","Python","MIT","0","70","95","73","79","40","A-recommended","""🐈 nanobot: The Ultra-Lightweight OpenClaw"""
"5","CherryHQ/cherry-studio","https://github.com/CherryHQ/cherry-studio","plugins-skills","B-medium","40279","3714","TypeScript","AGPL-3.0","0","72","85","80","78","28","A-recommended","AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs"
"6","qwibitai/nanoclaw","https://github.com/qwibitai/nanoclaw","security","B-medium","15383","2396","TypeScript","MIT","0","64","95","80","78","28","A-recommended","A lightweight alternative to Clawdbot / OpenClaw that runs in containers for security. Connects to WhatsApp, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK"
"7","hesamsheikh/awesome-openclaw-usecases","https://github.com/hesamsheikh/awesome-openclaw-usecases","plugins-skills","A-high","9877","745",,"MIT","0","57","98","91","78","20","A-recommended","A community collection of OpenClaw use cases for making life easier."
"8","openclaw/clawhub","https://github.com/openclaw/clawhub","official","A-official","3020","629","TypeScript","MIT","0","50","100","100","78","20","A-recommended","Skill Directory for OpenClaw"
"9","iOfficeAI/AionUi","https://github.com/iOfficeAI/AionUi","panel-ui","B-medium","17179","1306","TypeScript","Apache-2.0","0","62","95","78","77","28","B-usable","Free, local, open-source 24/7 Cowork app and OpenClaw for Gemini CLI, Claude Code, Codex, OpenCode, Qwen Code, Goose CLI, Auggie, and more | 🌟 Star if you like it!"
"10","langbot-app/LangBot","https://github.com/langbot-app/LangBot","plugins-skills","B-medium","15381","1317","Python","Apache-2.0","0","61","95","80","77","28","B-usable","Production-grade platform for building agentic IM bots - 生产级多平台智能机器人开发平台. 提供 Agent、知识库编排、插件系统 / Bots for Discord / Slack / LINE / Telegram / WeChat(企业微信, 企微智能机器人, 公众号) / 飞书 / 钉钉 / QQ / Satori e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Gemini, MiniMax, Ollama, SiliconFlow, Moonshot, GLM, clawdbot / openclaw"
